distance,first_registration,fuel,price,search,title,url,year
82000,2019-04-10,Elektrisitet,219147,Hyundai Kona,Hyundai Kona KONA ELECTRIC 150KW,https://www.finn.no/car/used/ad.html?finnkode=294902871,2019
66000,2019-01-04,Elektrisitet,245000,Hyundai Kona,"Hyundai Kona 64 KWH 449KM,HUD,KRELL,NAVI,TLF,DAB+,V-PUMPE,ACC,KAMERA",https://www.finn.no/car/used/ad.html?finnkode=341592543,2019
51000,2018-10-25,Elektrisitet,155000,Hyundai Kona,"Hyundai IONIQ Teknikk uten skinnseter, godt utstyrt",https://www.finn.no/car/used/ad.html?finnkode=340968894,2019
35000,2021-09-30,Elektrisitet,296129,Hyundai Kona,Hyundai Kona KONA ELECTRIC 150KW premium,https://www.finn.no/car/used/ad.html?finnkode=341503061,2021
37000,2022-12-24,Elektrisitet,296129,Hyundai Kona,Hyundai Kona KONA ELECTRIC 150KW,https://www.finn.no/car/used/ad.html?finnkode=341464026,2021
118000,2020-04-29,Elektrisitet,219000,Hyundai Kona,Hyundai Kona Electric 204hk 64kw Premium Norsk,https://www.finn.no/car/used/ad.html?finnkode=341618464,2020
24507,2020-12-17,Elektrisitet,289000,Hyundai Kona,Hyundai Kona 204HK 64kWh TREND 484km WLTP / LED / Garanti ++,https://www.finn.no/car/used/ad.html?finnkode=341487856,2020
75500,2020-10-30,Elektrisitet,249900,Hyundai Kona,Hyundai Kona 64 kWh Premium ACC Skinn HeadUp R.kamera DAB,https://www.finn.no/car/used/ad.html?finnkode=341488528,2020
40500,2019-08-30,Elektrisitet,243305,Hyundai Kona,Hyundai Kona Premium,https://www.finn.no/car/used/ad.html?finnkode=341584131,2019
30894,2021-08-13,Elektrisitet,319129,Hyundai Kona,Hyundai Kona Premium LR,https://www.finn.no/car/used/ad.html?finnkode=341659589,2021
99945,2019-03-05,Elektrisitet,214305,Hyundai Kona,Hyundai Kona KONA ELECTRIC 150KW,https://www.finn.no/car/used/ad.html?finnkode=341142782,2019
